-0.017067, 0.011137, -0.031934, 0.059545, 0.021138, 0.000000
-0.049650, 0.062453, -0.091458, 0.170604, 0.062453, 0.000000
-0.079905, 0.103533, -0.142812, 0.266617, 0.103533, 0.000000
-0.107833, 0.145695, -0.184491, 0.344884, 0.145695, 0.000000
-0.133434, 0.189907, -0.215820, 0.404215, 0.189907, 0.000000
-0.156708, 0.236796, -0.236762, 0.444521, 0.236796, 0.000000
-0.177653, 0.286624, -0.247753, 0.466460, 0.286624, 0.000000
-0.196272, 0.339234, -0.249543, 0.471088, 0.339234, 0.000000
-0.212564, 0.393985, -0.243067, 0.459641, 0.393985, 0.000000
-0.226528, 0.449681, -0.229401, 0.433454, 0.449681, 0.000000
-0.238164, 0.504522, -0.209689, 0.393956, 0.504522, 0.000000
-0.247474, 0.556138, -0.185100, 0.342730, 0.556138, 0.000000
-0.254456, 0.601729, -0.156753, 0.281598, 0.601729, 0.000000
-0.259110, 0.638350, -0.125677, 0.212703, 0.638350, 0.000000
-0.261438, 0.663333, -0.092745, 0.138520, 0.663334, 0.000000
-0.261438, 0.674747, -0.058718, 0.061828, 0.674747, 0.000000
-0.259110, 0.671761, -0.024294, -0.014425, 0.671761, 0.000000
-0.254455, 0.654803, 0.009777, -0.087266, 0.654802, 0.000000
-0.247474, 0.625421, 0.042577, -0.153886, 0.625421, 0.000000
-0.238164, 0.585928, 0.073016, -0.211794, 0.585928, 0.000000
-0.226528, 0.538941, 0.099840, -0.258880, 0.538941, 0.000000
-0.212563, 0.486960, 0.121728, -0.293461, 0.486960, 0.000000
-0.196273, 0.432087, 0.137419, -0.314240, 0.432086, 0.000000
-0.177654, 0.375865, 0.145804, -0.320271, 0.375865, 0.000000
-0.156707, 0.319251, 0.146033, -0.310941, 0.319251, 0.000000
-0.133434, 0.262688, 0.137576, -0.285991, 0.262688, 0.000000
-0.107833, 0.206159, 0.120293, -0.245581, 0.206159, 0.000000
-0.079906, 0.149249, 0.094503, -0.190439, 0.149249, 0.000000
-0.049650, 0.091244, 0.061058, -0.122007, 0.091244, 0.000000
-0.017067, 0.031102, 0.021407, -0.042598, 0.031102, 0.000000
