//circle out of workspace
-0.002642, -0.006300, 0.044023, 0.029915, -0.043830, 0.000000   1 0 0
-0.002497, -0.006048, 0.042969, 0.025662, -0.041517, 0.000000   1 0 0
-0.002335, -0.005742, 0.041373, 0.021739, -0.038919, 0.000000   1 0 0
-0.002158, -0.005379, 0.039228, 0.018163, -0.036037, 0.000000   1 0 0
-0.001965, -0.004959, 0.036532, 0.014941, -0.032867, 0.000000   1 0 0
-0.001755, -0.004480, 0.033288, 0.012072, -0.029411, 0.000000   1 0 0
-0.001529, -0.003943, 0.029505, 0.009545, -0.025667, 0.000000   1 0 0
-0.001287, -0.003348, 0.025195, 0.007334, -0.021636, 0.000000   1 0 0
-0.001029, -0.002696, 0.020378, 0.005406, -0.017318, 0.000000   1 0 0
-0.000755, -0.001989, 0.015082, 0.003707, -0.012717, 0.000000   1 0 0
-0.000465, -0.001229, 0.009340, 0.002174, -0.007834, 0.000000   1 0 0
-0.000159, -0.000420, 0.003195, 0.000722, -0.002672, 0.000000   1 0 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000   2 0 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000   2 0 0
0.000000, 0.136540, -0.011593, -0.037929, 0.136540, 0.000000   3 0 0
0.000000, 0.221519, -0.053477, 0.031799, 0.221519, 0.000000   3 0 0
0.000000, 0.176249, -0.123900, 0.245823, 0.176249, 0.000000   4 0 0
0.000000, 0.163744, -0.161911, 0.365062, 0.163744, 0.000000   4 0 1
0.000000, 0.140109, -0.184504, 0.458398, 0.140109, 0.000000   5 0 1
0.000000, 0.110709, -0.184500, 0.500321, 0.110709, 0.000000   5 0 1
0.000000, 0.068573, -0.170264, 0.513424, 0.068573, 0.000000   6 0 1
0.000000, 0.023340, -0.143855, 0.491561, 0.023340, 0.000000   6 0 1
0.000000, -0.033048, -0.108970, 0.442734, -0.033048, 0.000000   7 0 1
0.000000, -0.086873, -0.072280, 0.373732, -0.086873, 0.000000   7 0 1
0.000000, -0.143469, -0.033640, 0.279652, -0.143469, 0.000000   8 0 0
0.000000, -0.187250, -0.000660, 0.178584, -0.187250, 0.000000   8 0 0
0.000000, -0.219004, 0.029985, 0.058701, -0.219004, 0.000000   9 0 0
0.000000, -0.228870, 0.053678, -0.054428, -0.228870, 0.000000   9 0 0
0.000000, -0.216625, 0.075842, -0.174557, -0.216625, 0.000000   10 0 0
0.000000, -0.186185, 0.094588, -0.276042, -0.186185, 0.000000   10 0 0
0.000000, -0.137946, 0.113353, -0.370782, -0.137946, 0.000000   11 0 1
0.000000, -0.086013, 0.130186, -0.440507, -0.086013, 0.000000   11 0 1
0.000000, -0.027282, 0.143702, -0.490299, -0.027282, 0.000000   12 0 1
0.000000, 0.023251, 0.152498, -0.513150, 0.023251, 0.000000   12 0 1
0.000000, 0.072856, 0.150039, -0.501334, 0.072856, 0.000000   13 0 1
0.000000, 0.109995, 0.138106, -0.460738, 0.109995, 0.000000   13 0 1
0.000000, 0.184332, 0.110629, -0.404341, 0.184332, 0.000000   14 0 1
0.000000, 0.121346, 0.056947, -0.215687, 0.121346, 0.000000   14 0 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000   15 0 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000   15 0 0
0.000159, 0.000420, -0.003195, -0.000722, 0.002672, 0.000000   16 0 0
0.000465, 0.001229, -0.009340, -0.002174, 0.007834, 0.000000   16 0 0
0.000755, 0.001989, -0.015082, -0.003707, 0.012717, 0.000000   16 0 0
0.001029, 0.002696, -0.020378, -0.005406, 0.017318, 0.000000   16 0 0
0.001287, 0.003348, -0.025195, -0.007334, 0.021636, 0.000000   16 0 0
0.001529, 0.003943, -0.029505, -0.009545, 0.025667, 0.000000   16 0 0
0.001755, 0.004480, -0.033288, -0.012072, 0.029411, 0.000000   16 0 0
0.001965, 0.004959, -0.036532, -0.014941, 0.032867, 0.000000   16 0 0
0.002158, 0.005379, -0.039228, -0.018163, 0.036037, 0.000000   16 0 0
0.002335, 0.005742, -0.041373, -0.021739, 0.038919, 0.000000   16 0 0
0.002497, 0.006048, -0.042969, -0.025662, 0.041517, 0.000000   16 0 0
0.002642, 0.006300, -0.044023, -0.029915, 0.043830, 0.000000   16 0 0
